comentario,calificacion,codigo,Enlace,Sitio Web,Marca,Modelo estandar,Precio
Si corresponde a la foto tiene un excelente rendimiento y capacidad su diseño es novedoso Ya llegó el domicilio del celular,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
El tamaño es el apropiado y para cargar fácilmente; la calidad de imágen es optima causada por sus excelentes camaras de gran nitidez que facilita mi labor. La rapidez de subida y bajada de imágenes nítidas es notable gracias a su capacidad interna.,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Muy buen producto a un excelente precio, llego rápido, excelente transportadora.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Me gusto mucho, y fue rápido la llegada",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Cumple lo que promete, es un lindo celular",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Si es igual a la foto, me gustó el producto y llegó en el tiempo estipulado",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Me gusto mucho, y fue rápido la llegada",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Cumple lo que promete, es un lindo celular",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Si es igual a la foto, me gustó el producto y llegó en el tiempo estipulado",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Mi experiencia con el Poco X6 Pro 5G ha sido bastante positiva. Rendimiento: Velocidad y Eficiencia: Equipado con un procesador de última generación y 8GB de RAM, el Poco X6 Pro 5G maneja tareas multitarea y juegos pesados sin ningún problema. No he experimentado retrasos ni calentamiento excesivo durante el uso intensivo. Conectividad 5G: La conectividad 5G es rápida y estable, lo que mejora significativamente la experiencia de navegación y descarga de contenido. Batería: Duración: La batería de 5000mAh dura fácilmente todo el día con un uso moderado a intensivo. Incluso con el uso constante de 5G y la pantalla a 120Hz, no he tenido que recargar antes de finalizar el día. Carga Rápida: La carga rápida de 67W es un verdadero salvavidas, permitiendo cargar el teléfono del 0 al 100% en poco más de una hora.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Es un telefono versatil, con muchas opciones de personalizacion a nivel de software, procesador fluido y gran espacio y memoria. El unico pero es la cámara, aunque tiene buena resolución podria ser mejor.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"El celular es de muy buena calidad, rápido, sencillo de manejar y muy cómodo su uso",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Sí perfecto,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Un equipo con características premium a precio de gama media. Su peso es ideal, su cámara cumple, su pantalla tiene excelente resolución y el sensor de huella en pantalla es preciso.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"idéntico a la descripción, muy buena batería, el rendimiento es excelente, alcanza a correr a 60FPS los juegos",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Buen celular, pero esperaba más, llegó a tiempo y bien empacado.",4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Bueno,4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Celular de gama media alta, exelente teléfono",4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Una vez recibido inicie la configuración del celular, pasados unos minutos del proceso la pantalla cambio de colores y no volvió a su estado normal. Hoy (03/04/2024) inicio el proceso para pedir garantía o que me devuelvan mi dinero",1,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Me gustó,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Es idéntico al d3 la foto y funciona super bien,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Excelente teléfono con su funda cargador un teléfono muy bueno fluido y económico para tener ese procesador y ram lo único que falta es comprar el adaptador al cargador pero no es gran cosa recomendado comprar por línea,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"El producto es excelente, llega con su respectivo estuche y cargador el cual es rapidísimo, el celular a la mano es como un gama alta y su procesador es de lo mejor que hay.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Cumplio con mis expectativas. Igual que la foto,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Es excelente, es igual al de la foto y porsupuesto que es de gran calidad, llegó antes de lo esperado.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"El producto es excelente, llega con su respectivo estuche y cargador el cual es rapidísimo, el celular a la mano es como un gama alta y su procesador es de lo mejor que hay.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Cumplio con mis expectativas. Igual que la foto,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Es excelente, es igual al de la foto y porsupuesto que es de gran calidad, llegó antes de lo esperado.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Muy bien,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Excelente calidad. Procesador potente que permite que el celular vuele!,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
"Buena calidad, buen tiempo de envío y todo bien sellado",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
Muy buena calidad y rápido,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900
