comentario,calificacion,codigo,Enlace,Sitio Web,Marca,Modelo estandar,Precio,comentario_limpio,comentario_limpio_sin_lematizar,Calificacion Predicha,Sentimiento,Comentario_Negativo,Comentario_Positivo,Temas
Si corresponde a la foto tiene un excelente rendimiento y capacidad su diseño es novedoso Ya llegó el domicilio del celular,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,si corresponde foto excelente rendimiento capacidad diseño novedoso llego domicilio celular,Si corresponde a la foto tiene un excelente rendimiento y capacidad su diseño es novedoso Ya llego el domicilio del celular,5,Positivo,0,1,"['Cámara', 'Rendimiento']"
El tamaño es el apropiado y para cargar fácilmente; la calidad de imágen es optima causada por sus excelentes camaras de gran nitidez que facilita mi labor. La rapidez de subida y bajada de imágenes nítidas es notable gracias a su capacidad interna.,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,tamaño apropiado cargar facilmente calidad imagen optimum causada excelentes camaras gran nitidez facilita labor rapidez subida bajada imagenes nitidas notable gracias capacidad interna,El tamaño es el apropiado y para cargar facilmente la calidad de imagen es optima causada por sus excelentes camaras de gran nitidez que facilita mi labor La rapidez de subida y bajada de imagenes nitidas es notable gracias a su capacidad interna,4,Positivo,0,1,"['Cámara', 'Batería', 'Rendimiento', 'Pantalla']"
"Muy buen producto a un excelente precio, llego rápido, excelente transportadora.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,muy buen producto excelente precio llego rapido excelente transportadora,Muy buen producto a un excelente precio llego rapido excelente transportadora,5,Positivo,0,1,"['Cámara', 'Precio']"
"Mi experiencia con el Poco X6 Pro 5G ha sido bastante positiva. Rendimiento: Velocidad y Eficiencia: Equipado con un procesador de última generación y 8GB de RAM, el Poco X6 Pro 5G maneja tareas multitarea y juegos pesados sin ningún problema. No he experimentado retrasos ni calentamiento excesivo durante el uso intensivo. Conectividad 5G: La conectividad 5G es rápida y estable, lo que mejora significativamente la experiencia de navegación y descarga de contenido. Batería: Duración: La batería de 5000mAh dura fácilmente todo el día con un uso moderado a intensivo. Incluso con el uso constante de 5G y la pantalla a 120Hz, no he tenido que recargar antes de finalizar el día. Carga Rápida: La carga rápida de 67W es un verdadero salvavidas, permitiendo cargar el teléfono del 0 al 100% en poco más de una hora.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,experiencia poco x pro g sido bastante positiva rendimiento velocidad eficiencia equipado procesador ultima generacion gb ram poco x pro g maneja tareas multitarea juegos pesados sin ningun problema no experimentado retrasos calentamiento excesivo uso intensivo conectividad g conectividad g rapida estable mejora significativamente experiencia navegacion descarga contenido bateria duracion bateria mah dura facilmente dia uso moderado intensivo incluso uso constante g pantalla hz no recargar finalizar dia carga rapida carga rapida w verdadero salvavidas permitiendo cargar telefono poco ma hora,Mi experiencia con el Poco X Pro G ha sido bastante positiva Rendimiento Velocidad y Eficiencia Equipado con un procesador de ultima generacion y GB de RAM el Poco X Pro G maneja tareas multitarea y juegos pesados sin ningun problema No he experimentado retrasos ni calentamiento excesivo durante el uso intensivo Conectividad G La conectividad G es rapida y estable lo que mejora significativamente la experiencia de navegacion y descarga de contenido Bateria Duracion La bateria de mAh dura facilmente todo el dia con un uso moderado a intensivo Incluso con el uso constante de G y la pantalla a Hz no he tenido que recargar antes de finalizar el dia Carga Rapida La carga rapida de W es un verdadero salvavidas permitiendo cargar el telefono del  al  en poco mas de una hora,5,Positivo,0,1,"['Batería', 'Rendimiento', 'Pantalla']"
"Es un telefono versatil, con muchas opciones de personalizacion a nivel de software, procesador fluido y gran espacio y memoria. El unico pero es la cámara, aunque tiene buena resolución podria ser mejor.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,telefono versatil muchas opciones personalizacion nivel software procesador fluido gran espacio memoria unico camara aunque buena resolucion podria ser mejor,Es un telefono versatil con muchas opciones de personalizacion a nivel de software procesador fluido y gran espacio y memoria El unico pero es la camara aunque tiene buena resolucion podria ser mejor,4,Positivo,0,1,['Rendimiento']
"El celular es de muy buena calidad, rápido, sencillo de manejar y muy cómodo su uso",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,celular muy buena calidad rapido sencillo manejar muy comodo uso,El celular es de muy buena calidad rapido sencillo de manejar y muy comodo su uso,5,Positivo,0,1,[]
Sí perfecto,5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,si perfecto,Si perfecto,5,Positivo,0,1,[]
"Un equipo con características premium a precio de gama media. Su peso es ideal, su cámara cumple, su pantalla tiene excelente resolución y el sensor de huella en pantalla es preciso.",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,equipo caracteristicas premium precio gama medium peso ideal camara cumple pantalla excelente resolucion sensor huella pantalla preciso,Un equipo con caracteristicas premium a precio de gama media Su peso es ideal su camara cumple su pantalla tiene excelente resolucion y el sensor de huella en pantalla es preciso,5,Positivo,0,1,"['Cámara', 'Precio', 'Pantalla']"
"idéntico a la descripción, muy buena batería, el rendimiento es excelente, alcanza a correr a 60FPS los juegos",5,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,identico descripcion muy buena bateria rendimiento excelente alcanza correr fps juegos,identico a la descripcion muy buena bateria el rendimiento es excelente alcanza a correr a FPS los juegos,5,Positivo,0,1,"['Cámara', 'Rendimiento']"
"Buen celular, pero esperaba más, llegó a tiempo y bien empacado.",4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,buen celular esperaba ma llego tiempo bien empacado,Buen celular pero esperaba mas llego a tiempo y bien empacado,3,Neutro,1,0,[]
Bueno,4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,bueno,Bueno,4,Positivo,0,1,[]
"Celular de gama media alta, exelente teléfono",4,FX1,https://www.falabella.com.co/falabella-co/product/127913189/Celular-Xiaomi-Poco-X6-Pro-5G-512Gb-12Ram-64Mp-Negro/127913190,falabella,Xiaomi,Xiaomi Poco X6 Pro,1899900,celular gama medium alta excelente telefono,Celular de gama media alta excelente telefono,5,Positivo,0,1,['Cámara']
