Marca,Temas,Total_Comentarios,Calificacion_Promedio
Apple,Batería,110,4.1454545454545455
Apple,Cámara,668,4.911676646706587
Apple,Pantalla,307,4.570032573289902
Apple,Precio,183,4.699453551912568
Apple,Rendimiento,252,4.571428571428571
Samsung,Batería,390,4.182051282051282
Samsung,Cámara,1059,4.758262511803588
Samsung,Pantalla,396,4.502525252525253
Samsung,Precio,360,4.541666666666667
Samsung,Rendimiento,714,4.584033613445378
Xiaomi,Batería,204,4.0
Xiaomi,Cámara,476,4.758403361344538
Xiaomi,Pantalla,118,4.161016949152542
Xiaomi,Precio,290,4.5793103448275865
Xiaomi,Rendimiento,243,4.288065843621399
